Sensor Name,Sensor Type,Communication Protocol,I2C Compatible,SPI Compatible,Operating Voltage,Temperature Range,Accuracy,Cost (USD),Target Environment,Package Type,Description
LSM6DS3,Accelerometer/Gyroscope,I2C/SPI,Yes,Yes,1.7-3.6V,-40 to 85°C,±70 mdps,5.0,Wearable/IoT,SMD,The LSM6DS3 is a Accelerometer/Gyroscope sensor that communicates via I2C/SPI. It supports 1.7-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±70 mdps. It is well-suited for Wearable/IoT applications. Cost: approximately $5.0 USD. Package: SMD. I2C: Yes. SPI: Yes.
HC-SR04,Ultrasonic Distance,GPIO Trigger/Echo,No,No,5V,-25 to 70°C,±3mm,1.0,Robotics/Obstacle Detection,Through-hole,The HC-SR04 is a Ultrasonic Distance sensor that communicates via GPIO Trigger/Echo. It supports 5V supply voltage and operates across -25 to 70°C. Accuracy is ±3mm. It is well-suited for Robotics/Obstacle Detection applications. Cost: approximately $1.0 USD. Package: Through-hole. I2C: No. SPI: No.
VL53L0X,ToF Distance,I2C,Yes,No,2.6-3.5V,-20 to 70°C,±3%,6.0,Robotics/Gesture,SMD,The VL53L0X is a ToF Distance sensor that communicates via I2C. It supports 2.6-3.5V supply voltage and operates across -20 to 70°C. Accuracy is ±3%. It is well-suited for Robotics/Gesture applications. Cost: approximately $6.0 USD. Package: SMD. I2C: Yes. SPI: No.
VL53L1X,ToF Distance,I2C,Yes,No,2.6-3.5V,-20 to 70°C,±1mm,9.0,Industrial/Automation,SMD,The VL53L1X is a ToF Distance sensor that communicates via I2C. It supports 2.6-3.5V supply voltage and operates across -20 to 70°C. Accuracy is ±1mm. It is well-suited for Industrial/Automation applications. Cost: approximately $9.0 USD. Package: SMD. I2C: Yes. SPI: No.
SHARP GP2Y0A21,IR Distance,Analog,No,No,5V,-10 to 60°C,±10%,3.0,Robotics,Through-hole,The SHARP GP2Y0A21 is a IR Distance sensor that communicates via Analog. It supports 5V supply voltage and operates across -10 to 60°C. Accuracy is ±10%. It is well-suited for Robotics applications. Cost: approximately $3.0 USD. Package: Through-hole. I2C: No. SPI: No.
MQ-135,Air Quality (CO2/NH3),Analog,No,No,5V,-20 to 50°C,±5%,2.0,Indoor Air Quality,Through-hole,The MQ-135 is a Air Quality (CO2/NH3) sensor that communicates via Analog. It supports 5V supply voltage and operates across -20 to 50°C. Accuracy is ±5%. It is well-suited for Indoor Air Quality applications. Cost: approximately $2.0 USD. Package: Through-hole. I2C: No. SPI: No.
MQ-7,Carbon Monoxide,Analog,No,No,5V,-10 to 50°C,±5%,2.5,Safety/Industrial,Through-hole,The MQ-7 is a Carbon Monoxide sensor that communicates via Analog. It supports 5V supply voltage and operates across -10 to 50°C. Accuracy is ±5%. It is well-suited for Safety/Industrial applications. Cost: approximately $2.5 USD. Package: Through-hole. I2C: No. SPI: No.
CCS811,eCO2/TVOC,I2C,Yes,No,1.8-3.6V,-40 to 85°C,±15ppm CO2,8.0,Indoor Air Quality,SMD,The CCS811 is a eCO2/TVOC sensor that communicates via I2C. It supports 1.8-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±15ppm CO2. It is well-suited for Indoor Air Quality applications. Cost: approximately $8.0 USD. Package: SMD. I2C: Yes. SPI: No.
SGP30,eCO2/TVOC,I2C,Yes,No,1.62-1.98V,-40 to 85°C,±15% CO2,10.0,Smart Home/IAQ,SMD,The SGP30 is a eCO2/TVOC sensor that communicates via I2C. It supports 1.62-1.98V supply voltage and operates across -40 to 85°C. Accuracy is ±15% CO2. It is well-suited for Smart Home/IAQ applications. Cost: approximately $10.0 USD. Package: SMD. I2C: Yes. SPI: No.
BME688,Gas/Temp/Humidity/Pressure,I2C/SPI,Yes,Yes,1.7-3.6V,-40 to 85°C,±1 hPa / ±3%RH,12.0,Industrial/Smart Home,SMD,The BME688 is a Gas/Temp/Humidity/Pressure sensor that communicates via I2C/SPI. It supports 1.7-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±1 hPa / ±3%RH. It is well-suited for Industrial/Smart Home applications. Cost: approximately $12.0 USD. Package: SMD. I2C: Yes. SPI: Yes.
BH1750,Ambient Light,I2C,Yes,No,2.4-3.6V,-40 to 85°C,±20%,1.5,Indoor/Outdoor,SMD,The BH1750 is a Ambient Light sensor that communicates via I2C. It supports 2.4-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±20%. It is well-suited for Indoor/Outdoor applications. Cost: approximately $1.5 USD. Package: SMD. I2C: Yes. SPI: No.
VEML7700,Ambient Light,I2C,Yes,No,2.5-3.6V,-40 to 85°C,±10%,2.5,IoT/Wearable,SMD,The VEML7700 is a Ambient Light sensor that communicates via I2C. It supports 2.5-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±10%. It is well-suited for IoT/Wearable applications. Cost: approximately $2.5 USD. Package: SMD. I2C: Yes. SPI: No.
GUVA-S12SD,UV Index,Analog,No,No,2.7-5.5V,-20 to 85°C,±1 UV Index,2.0,Outdoor/Wearable,SMD,The GUVA-S12SD is a UV Index sensor that communicates via Analog. It supports 2.7-5.5V supply voltage and operates across -20 to 85°C. Accuracy is ±1 UV Index. It is well-suited for Outdoor/Wearable applications. Cost: approximately $2.0 USD. Package: SMD. I2C: No. SPI: No.
Capacitive Soil Sensor v1.2,Soil Moisture,Analog,No,No,3.3-5V,0 to 50°C,±3%,2.5,Agriculture/Garden,Through-hole,The Capacitive Soil Sensor v1.2 is a Soil Moisture sensor that communicates via Analog. It supports 3.3-5V supply voltage and operates across 0 to 50°C. Accuracy is ±3%. It is well-suited for Agriculture/Garden applications. Cost: approximately $2.5 USD. Package: Through-hole. I2C: No. SPI: No.
DS18B20,Temperature (Waterproof),1-Wire,No,No,3.0-5.5V,-55 to 125°C,±0.5°C,2.5,Industrial/Liquid,Probe,The DS18B20 is a Temperature (Waterproof) sensor that communicates via 1-Wire. It supports 3.0-5.5V supply voltage and operates across -55 to 125°C. Accuracy is ±0.5°C. It is well-suited for Industrial/Liquid applications. Cost: approximately $2.5 USD. Package: Probe. I2C: No. SPI: No.
Atlas EZO pH,pH,I2C/UART,Yes,No,3.3-5V,1 to 99°C,±0.002 pH,40.0,Water Quality/Lab,Module,The Atlas EZO pH is a pH sensor that communicates via I2C/UART. It supports 3.3-5V supply voltage and operates across 1 to 99°C. Accuracy is ±0.002 pH. It is well-suited for Water Quality/Lab applications. Cost: approximately $40.0 USD. Package: Module. I2C: Yes. SPI: No.
INA219,Current/Power Monitor,I2C,Yes,No,3.0-5.5V,-40 to 125°C,±1% current,2.0,Power Management,SMD,The INA219 is a Current/Power Monitor sensor that communicates via I2C. It supports 3.0-5.5V supply voltage and operates across -40 to 125°C. Accuracy is ±1% current. It is well-suited for Power Management applications. Cost: approximately $2.0 USD. Package: SMD. I2C: Yes. SPI: No.
INA3221,3-Channel Current Monitor,I2C,Yes,No,2.7-5.5V,-40 to 125°C,±0.8% current,4.5,Multichannel Power,SMD,The INA3221 is a 3-Channel Current Monitor sensor that communicates via I2C. It supports 2.7-5.5V supply voltage and operates across -40 to 125°C. Accuracy is ±0.8% current. It is well-suited for Multichannel Power applications. Cost: approximately $4.5 USD. Package: SMD. I2C: Yes. SPI: No.
INMP441,MEMS Microphone,I2S,No,No,1.8-3.3V,-40 to 85°C,±1 dB SNR,3.5,Audio/Voice,SMD,The INMP441 is a MEMS Microphone sensor that communicates via I2S. It supports 1.8-3.3V supply voltage and operates across -40 to 85°C. Accuracy is ±1 dB SNR. It is well-suited for Audio/Voice applications. Cost: approximately $3.5 USD. Package: SMD. I2C: No. SPI: No.
MAX4466,Sound/Microphone,Analog,No,No,2.4-5.5V,-40 to 85°C,±3 dB,2.0,Audio Detection,Module,The MAX4466 is a Sound/Microphone sensor that communicates via Analog. It supports 2.4-5.5V supply voltage and operates across -40 to 85°C. Accuracy is ±3 dB. It is well-suited for Audio Detection applications. Cost: approximately $2.0 USD. Package: Module. I2C: No. SPI: No.
